from_country,to_country,fee_clean,season_start,player_name,player_position
England,England,5500000.0,2002,Richard Wright,Goalkeeper
England,Spain,1530000.0,2002,Alexander Manninger,Goalkeeper
England,England,4800000.0,2002,Stephen Wright,Right-Back
England,England,4500000.0,2002,Nick Barmby,Left Midfield
England,England,500000.0,2002,Gary McAllister,Central Midfield
England,England,46000000.0,2002,Rio Ferdinand,Centre-Back
England,England,3500000.0,2002,Dwight Yorke,Centre-Forward
England,England,6800000.0,2002,Titus Bramble,Centre-Back
England,England,225000.0,2002,Stuart Green,Right Winger
England,England,4500000.0,2002,Nick Barmby,Left Midfield
England,England,46000000.0,2002,Rio Ferdinand,Centre-Back
England,England,10500000.0,2002,Robbie Keane,Centre-Forward
England,England,15000.0,2002,Craig Farrell,Centre-Forward
England,Italy,1600000.0,2002,Samuele Dalla Bona,Central Midfield
England,England,1150000.0,2002,Mark Kinsella,Defensive Midfield
England,England,6900000.0,2002,George Boateng,Defensive Midfield
England,England,10500000.0,2002,Robbie Keane,Centre-Forward
England,England,3500000.0,2002,Dwight Yorke,Centre-Forward
England,England,2250000.0,2002,David Thompson,Central Midfield
England,England,1500000.0,2002,Andy Todd,Centre-Back
England,Türkiye,1200000.0,2002,Hakan Ünsal,Left-Back
England,England,600000.0,2002,Ben Burgess,Centre-Forward
England,England,6900000.0,2002,George Boateng,Defensive Midfield
England,Italy,950000.0,2002,Benny Carbone,Second Striker
England,England,750000.0,2002,Eddie Lewis,Left Midfield
England,Scotland,75000.0,2002,Tom Hutchinson,Centre-Back
England,England,5250000.0,2002,Gary Rowett,Right-Back
England,England,300000.0,2002,Paul Rachubka,Goalkeeper
England,England,1500000.0,2002,Andy Todd,Centre-Back
England,England,1150000.0,2002,Mark Kinsella,Defensive Midfield
England,England,5500000.0,2002,Richard Wright,Goalkeeper
England,England,38000.0,2002,David Norris,Central Midfield
England,England,5250000.0,2002,Matt Piper,Right Midfield
England,England,4880000.0,2002,Marcus Stewart,Centre-Forward
England,England,4800000.0,2002,Stephen Wright,Right-Back
England,England,280000.0,2002,Sean Thornton,Central Midfield
England,England,300000.0,2002,Chris Killen,Centre-Forward
England,England,9000000.0,2002,Lee Hughes,Centre-Forward
England,England,3450000.0,2002,Jason Koumas,Attacking Midfield
England,England,2500000.0,2002,Sean Gregan,Centre-Back
England,England,1050000.0,2002,Lee Marshall,Central Midfield
England,England,250000.0,2002,Joe Murphy,Goalkeeper
England,England,6380000.0,2002,Clinton Morrison,Centre-Forward
England,England,1880000.0,2002,Robbie Savage,Defensive Midfield
England,England,525000.0,2002,Tom Williams,Left-Back
England,England,1150000.0,2002,Andy Johnson,Centre-Forward
England,England,3000000.0,2003,David Bellion,Centre-Forward
England,Spain,37500000.0,2003,David Beckham,Central Midfield
England,England,21800000.0,2003,Juan Sebastián Verón,Central Midfield
England,England,50000.0,2003,John Halls,Defensive Midfield
England,England,24500000.0,2003,Damien Duff,Right Midfield
England,England,21800000.0,2003,Juan Sebastián Verón,Central Midfield
England,England,10500000.0,2003,Wayne Bridge,Left-Back
England,England,9900000.0,2003,Joe Cole,Attacking Midfield
England,England,8300000.000000001,2003,Glen Johnson,Right-Back
England,England,750000.0,2003,Mikael Forssell,Centre-Forward
England,England,200000.0,2003,Leon Knight,Centre-Forward
England,England,10000000.0,2003,Harry Kewell,Left Winger
England,England,5250000.0,2003,Steve Finnan,Right-Back
England,England,3600000.0,2003,Steven Reid,Right-Back
England,England,24500000.0,2003,Damien Duff,Right Midfield
England,England,8750000.0,2003,David Dunn,Attacking Midfield
England,England,1250000.0,2003,Kevin Kilbane,Left Midfield
England,England,800000.0,2003,Nigel Martyn,Goalkeeper
England,England,750000.0,2003,Mark Pembridge,Left Midfield
England,England,4850000.0,2003,Kevin Phillips,Centre-Forward
England,England,400000.0,2003,Dexter Blackstock,Centre-Forward
England,England,375000.0,2003,Fitz Hall,Centre-Back
England,England,10500000.0,2003,Wayne Bridge,Left-Back
England,England,3750000.0,2003,Trevor Sinclair,Left Winger
England,England,3750000.0,2003,Claudio Reyna,Central Midfield
England,England,360000.0,2003,Mark Redshaw,Second Striker
England,Mexico,1500000.0,2003,Matías Vuoso,Centre-Forward
England,Germany,1250000.0,2003,Niclas Jensen,Left-Back
England,England,1250000.0,2003,Darren Huckerby,Centre-Forward
England,Germany,723000.0,2003,Lucién Mettomo,Centre-Back
England,England,700000.0,2003,Shaun Goater,Centre-Forward
England,England,450000.0,2003,Kevin Horlock,Defensive Midfield
England,England,280000.0,2003,Steve Howey,Centre-Back
England,England,5250000.0,2003,Frédéric Kanouté,Centre-Forward
England,England,2000000.0,2003,Bobby Zamora,Centre-Forward
England,England,450000.0,2003,Ben Thatcher,Left-Back
England,England,750000.0,2003,Mark Crossley,Goalkeeper
England,England,375000.0,2003,Luke Wilkshire,Right-Back
England,England,1250000.0,2003,Matt Holland,Central Midfield
England,Sweden,500000.0,2003,Jesper Blomqvist,Left Midfield
England,England,8750000.0,2003,David Dunn,Attacking Midfield
England,England,750000.0,2003,Mikael Forssell,Centre-Forward
England,England,1500000.0,2003,Geoff Horsfield,Centre-Forward
England,England,225000.0,2003,Michael Johnson,Centre-Back
England,England,225000.0,2003,Paul Devlin,Attacking Midfield
England,England,750000.0,2003,Mark Pembridge,Left Midfield
England,England,750000.0,2003,Mark Crossley,Goalkeeper
England,England,5250000.0,2003,Steve Finnan,Right-Back
England,England,40000.0,2003,Calum Willock,Centre-Forward
England,England,10000000.0,2003,Harry Kewell,Left Winger
England,Italy,6000000.0,2003,Olivier Dacourt,Defensive Midfield
England,England,800000.0,2003,Nigel Martyn,Goalkeeper
England,Denmark,30000.0,2003,Shane Cansdell-Sherriff,Centre-Back
England,England,3380000.0,2003,Gavin McCann,Central Midfield
England,England,3000000.0,2003,Thomas Sörensen,Goalkeeper
England,England,450000.0,2003,Ben Thatcher,Left-Back
England,England,280000.0,2003,Steve Howey,Centre-Back
England,England,2000000.0,2003,Jody Craddock,Centre-Back
England,Belgium,1000000.0,2003,Cédric Roussel,Centre-Forward
England,England,150000.0,2003,Ívar Ingimarsson,Centre-Back
England,England,7130000.0,2000,Dominic Matteo,Left-Back
England,England,3750000.0,2000,David Hopkin,Right Midfield
England,England,3750000.0,2000,David Hopkin,Right Midfield
England,England,2100000.0,2000,Ashley Ward,Centre-Forward
England,England,1400000.0,2000,Lee Mills,Centre-Forward
England,England,175000.0,2000,Ashley Westwood,Centre-Back
England,England,4500000.0,2000,Gary Rowett,Right-Back
England,England,2500000.0,2000,Callum Davidson,Left-Back
